"Story","Title","Result","Date","Stability","Duration (s)"
"Product","[Positive] - PRODUCT_GET all detail data product","SUCCESS","2023-10-06T14:52:51.941557+07:00[Asia/Bangkok]","0.0","0.46"
"Product","[Negative] - PRODUCT_GET all detail data product with invalid url","SUCCESS","2023-10-06T14:52:52.4116956+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Positive] - PRODUCT_GET a single product with valid endpoint","SUCCESS","2023-10-06T14:52:52.8664865+07:00[Asia/Bangkok]","0.0","0.44"
"Product","[Negative] - PRODUCT_GET a single product with invalid endpoint","SUCCESS","2023-10-06T14:52:53.3148696+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Positive] - PRODUCT_GET limit result product with valid param","SUCCESS","2023-10-06T14:52:53.7654151+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Negative] - PRODUCT_GET limit result product with invalid param","SUCCESS","2023-10-06T14:52:54.2201532+07:00[Asia/Bangkok]","0.0","0.44"
"Product","[Positive] - PRODUCT_GET sort result product in descending with valid endpoint","SUCCESS","2023-10-06T14:52:54.6630091+07:00[Asia/Bangkok]","0.0","0.48"
"Product","[Negative] - PRODUCT_GET sort result product in descending with invalid endpoint","SUCCESS","2023-10-06T14:52:55.1492016+07:00[Asia/Bangkok]","0.0","0.79"
"Product","[Positive] - PRODUCT_GET all categories product with valid endpoints","SUCCESS","2023-10-06T14:52:55.9407306+07:00[Asia/Bangkok]","0.0","0.44"
"Product","[Negative] - PRODUCT_GET all categories product with invalid endpoint","SUCCESS","2023-10-06T14:52:56.3932621+07:00[Asia/Bangkok]","0.0","0.76"
"Product","[Positive] - PRODUCT_GET in category product with valid endpoint","SUCCESS","2023-10-06T14:52:57.1546075+07:00[Asia/Bangkok]","0.0","0.63"
"Product","[Positive] - PRODUCT_POST new product with valid data","SUCCESS","2023-10-06T14:52:58.8970169+07:00[Asia/Bangkok]","0.0","0.52"
"Product","[Negative] - PRODUCT_POST new product with invalid data","SUCCESS","2023-10-06T14:52:59.4271458+07:00[Asia/Bangkok]","0.0","0.75"
"Product","[Positive] - PRODUCT_PUT existing product with valid endpoints","SUCCESS","2023-10-06T14:53:00.1860422+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Negative] - PRODUCT_PUT existing product with invalid endpoints","SUCCESS","2023-10-06T14:53:00.6429594+07:00[Asia/Bangkok]","0.0","0.54"
"Product","[Positive] - PRODUCT_DELETE existing product with valid id","SUCCESS","2023-10-06T14:53:01.187925+07:00[Asia/Bangkok]","0.0","0.61"
"Product","[Negative] - PRODUCT_DELETE existing cart with invalid id","SUCCESS","2023-10-06T14:53:01.8068263+07:00[Asia/Bangkok]","0.0","0.45"
