"Story","Title","Result","Date","Stability","Duration (s)"
"User","[Positive] - USER_ GET all detail data user with valid url","SUCCESS","2023-10-06T14:53:02.2635601+07:00[Asia/Bangkok]","0.0","0.64"
"User","[Negative] - USER_GET all detail data cart with invalid url","SUCCESS","2023-10-06T14:53:02.9102721+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_GET a single user with valid endpoints","SUCCESS","2023-10-06T14:53:03.3499494+07:00[Asia/Bangkok]","0.0","0.7"
"User","[Negative] - USER_GET a single user with invalid endpoints","SUCCESS","2023-10-06T14:53:04.0597398+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_GET limit result with valid param","SUCCESS","2023-10-06T14:53:04.5020231+07:00[Asia/Bangkok]","0.0","0.62"
"User","[Negative] - USER_GET limit result with invalid param","SUCCESS","2023-10-06T14:53:05.1216029+07:00[Asia/Bangkok]","0.0","0.92"
"User","[Positive] - USER_GET sort result user in descending with valid endpoint","SUCCESS","2023-10-06T14:53:06.044761+07:00[Asia/Bangkok]","0.0","0.63"
"User","[Negative] - USER_GET sort result user in descending with invalid endpoint","SUCCESS","2023-10-06T14:53:06.6820243+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_POST new product with valid data","SUCCESS","2023-10-06T14:53:07.1279651+07:00[Asia/Bangkok]","0.0","0.63"
"User","[Negative] - USER_POST new product with invalid data","SUCCESS","2023-10-06T14:53:07.7641438+07:00[Asia/Bangkok]","0.0","0.53"
"User","[Positive] - USER_PUT existing user with valid endpoints","SUCCESS","2023-10-06T14:53:08.2973156+07:00[Asia/Bangkok]","0.0","0.72"
"User","[Negative] - USER_PUT existing user with invalid endpoints","SUCCESS","2023-10-06T14:53:09.0201169+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_DELETE existing user with valid id","SUCCESS","2023-10-06T14:53:09.4618579+07:00[Asia/Bangkok]","0.0","0.92"
"User","[Negative] - USER_DELETE existing user with invalid id","SUCCESS","2023-10-06T14:53:10.3945382+07:00[Asia/Bangkok]","0.0","0.78"
