"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","[Negative] - CART_GET all detail data cart with invalid endpoints","SUCCESS","2023-10-06T14:52:39.9431623+07:00[Asia/Bangkok]","0.0","0.85"
"Cart","[Negative] - CART_GET a single cart with invalid url","SUCCESS","2023-10-06T14:52:41.9041289+07:00[Asia/Bangkok]","0.0","0.56"
"Cart","[Positive] - CART_GET limit result cart with valid param","SUCCESS","2023-10-06T14:52:42.4702715+07:00[Asia/Bangkok]","0.0","0.69"
"Cart","[Negative] - CART_GET limit result cart with invalid param","SUCCESS","2023-10-06T14:52:43.1651817+07:00[Asia/Bangkok]","0.0","0.78"
"Cart","[Positive] - CART_GET sort result cart in descending with valid endpoint","SUCCESS","2023-10-06T14:52:43.9542481+07:00[Asia/Bangkok]","0.0","0.62"
"Cart","[Negative] - CART_GET sort result cart in descending with invalid endpoint","SUCCESS","2023-10-06T14:52:44.583479+07:00[Asia/Bangkok]","0.0","0.47"
"Cart","[Positive] - CART_GET in date range cart with valid data","SUCCESS","2023-10-06T14:52:45.0601031+07:00[Asia/Bangkok]","0.0","0.64"
"Cart","[Negative] - CART_GET in date range cart with invalid data","SUCCESS","2023-10-06T14:52:45.7099055+07:00[Asia/Bangkok]","0.0","0.77"
"Cart","[Negative] - CART_GET user cart with invalid data","FAILURE","2023-10-06T14:52:46.4861207+07:00[Asia/Bangkok]","0.0","0.64"
"Cart","[Positive] - CART_POST new cart with valid data","SUCCESS","2023-10-06T14:52:47.179525+07:00[Asia/Bangkok]","0.0","0.57"
"Cart","[Negative] - CART_POST new cart with invalid data","SUCCESS","2023-10-06T14:52:47.7514074+07:00[Asia/Bangkok]","0.0","0.47"
"Cart","[Positive] - CART_PUT existing cart with valid data","SUCCESS","2023-10-06T14:52:48.2270763+07:00[Asia/Bangkok]","0.0","0.47"
"Cart","[Negative] - CART_PUT existing cart with invalid data","SUCCESS","2023-10-06T14:52:48.7040024+07:00[Asia/Bangkok]","0.0","0.44"
"Cart","[Positive] - CART_DELETE existing cart with valid id","SUCCESS","2023-10-06T14:52:49.1548126+07:00[Asia/Bangkok]","0.0","0.62"
"Cart","[Negative] - CART_DELETE existing cart with invalid id","SUCCESS","2023-10-06T14:52:49.7829569+07:00[Asia/Bangkok]","0.0","0.45"
