"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","[Positive] - CART_ GET all detail data cart with valid endpoints","SUCCESS","2023-10-06T14:52:36.4877013+07:00[Asia/Bangkok]","0.0","3.44"
"Cart","[Negative] - CART_GET all detail data cart with invalid endpoints","SUCCESS","2023-10-06T14:52:39.9431623+07:00[Asia/Bangkok]","0.0","0.85"
"Cart","[Positive] - CART_GET a single cart with valid url","SUCCESS","2023-10-06T14:52:40.8102955+07:00[Asia/Bangkok]","0.0","1.08"
"Cart","[Negative] - CART_GET a single cart with invalid url","SUCCESS","2023-10-06T14:52:41.9041289+07:00[Asia/Bangkok]","0.0","0.56"
"Cart","[Positive] - CART_GET limit result cart with valid param","SUCCESS","2023-10-06T14:52:42.4702715+07:00[Asia/Bangkok]","0.0","0.69"
"Cart","[Negative] - CART_GET limit result cart with invalid param","SUCCESS","2023-10-06T14:52:43.1651817+07:00[Asia/Bangkok]","0.0","0.78"
"Cart","[Positive] - CART_GET sort result cart in descending with valid endpoint","SUCCESS","2023-10-06T14:52:43.9542481+07:00[Asia/Bangkok]","0.0","0.62"
"Cart","[Negative] - CART_GET sort result cart in descending with invalid endpoint","SUCCESS","2023-10-06T14:52:44.583479+07:00[Asia/Bangkok]","0.0","0.47"
"Cart","[Positive] - CART_GET in date range cart with valid data","SUCCESS","2023-10-06T14:52:45.0601031+07:00[Asia/Bangkok]","0.0","0.64"
"Cart","[Negative] - CART_GET in date range cart with invalid data","SUCCESS","2023-10-06T14:52:45.7099055+07:00[Asia/Bangkok]","0.0","0.77"
"Cart","[Negative] - CART_GET user cart with invalid data","FAILURE","2023-10-06T14:52:46.4861207+07:00[Asia/Bangkok]","0.0","0.64"
"Cart","[Positive] - CART_POST new cart with valid data","SUCCESS","2023-10-06T14:52:47.179525+07:00[Asia/Bangkok]","0.0","0.57"
"Cart","[Negative] - CART_POST new cart with invalid data","SUCCESS","2023-10-06T14:52:47.7514074+07:00[Asia/Bangkok]","0.0","0.47"
"Cart","[Positive] - CART_PUT existing cart with valid data","SUCCESS","2023-10-06T14:52:48.2270763+07:00[Asia/Bangkok]","0.0","0.47"
"Cart","[Negative] - CART_PUT existing cart with invalid data","SUCCESS","2023-10-06T14:52:48.7040024+07:00[Asia/Bangkok]","0.0","0.44"
"Cart","[Positive] - CART_DELETE existing cart with valid id","SUCCESS","2023-10-06T14:52:49.1548126+07:00[Asia/Bangkok]","0.0","0.62"
"Cart","[Negative] - CART_DELETE existing cart with invalid id","SUCCESS","2023-10-06T14:52:49.7829569+07:00[Asia/Bangkok]","0.0","0.45"
"Login","[Positive] - LOGIN_As admin I have be able to login","SUCCESS","2023-10-06T14:52:50.2399978+07:00[Asia/Bangkok]","0.0","1.23"
"Login","[Negative] - LOGIN_As admin I can't login with missing data","SUCCESS","2023-10-06T14:52:51.4754087+07:00[Asia/Bangkok]","0.0","0.46"
"Product","[Positive] - PRODUCT_GET all detail data product","SUCCESS","2023-10-06T14:52:51.941557+07:00[Asia/Bangkok]","0.0","0.46"
"Product","[Negative] - PRODUCT_GET all detail data product with invalid url","SUCCESS","2023-10-06T14:52:52.4116956+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Positive] - PRODUCT_GET a single product with valid endpoint","SUCCESS","2023-10-06T14:52:52.8664865+07:00[Asia/Bangkok]","0.0","0.44"
"Product","[Negative] - PRODUCT_GET a single product with invalid endpoint","SUCCESS","2023-10-06T14:52:53.3148696+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Positive] - PRODUCT_GET limit result product with valid param","SUCCESS","2023-10-06T14:52:53.7654151+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Negative] - PRODUCT_GET limit result product with invalid param","SUCCESS","2023-10-06T14:52:54.2201532+07:00[Asia/Bangkok]","0.0","0.44"
"Product","[Positive] - PRODUCT_GET sort result product in descending with valid endpoint","SUCCESS","2023-10-06T14:52:54.6630091+07:00[Asia/Bangkok]","0.0","0.48"
"Product","[Negative] - PRODUCT_GET sort result product in descending with invalid endpoint","SUCCESS","2023-10-06T14:52:55.1492016+07:00[Asia/Bangkok]","0.0","0.79"
"Product","[Positive] - PRODUCT_GET all categories product with valid endpoints","SUCCESS","2023-10-06T14:52:55.9407306+07:00[Asia/Bangkok]","0.0","0.44"
"Product","[Negative] - PRODUCT_GET all categories product with invalid endpoint","SUCCESS","2023-10-06T14:52:56.3932621+07:00[Asia/Bangkok]","0.0","0.76"
"Product","[Positive] - PRODUCT_GET in category product with valid endpoint","SUCCESS","2023-10-06T14:52:57.1546075+07:00[Asia/Bangkok]","0.0","0.63"
"Product","[Negative] - PRODUCT_GET in category product with invalid endpoint","SUCCESS","2023-10-06T14:52:57.7892114+07:00[Asia/Bangkok]","0.0","1.1"
"Product","[Positive] - PRODUCT_POST new product with valid data","SUCCESS","2023-10-06T14:52:58.8970169+07:00[Asia/Bangkok]","0.0","0.52"
"Product","[Negative] - PRODUCT_POST new product with invalid data","SUCCESS","2023-10-06T14:52:59.4271458+07:00[Asia/Bangkok]","0.0","0.75"
"Product","[Positive] - PRODUCT_PUT existing product with valid endpoints","SUCCESS","2023-10-06T14:53:00.1860422+07:00[Asia/Bangkok]","0.0","0.45"
"Product","[Negative] - PRODUCT_PUT existing product with invalid endpoints","SUCCESS","2023-10-06T14:53:00.6429594+07:00[Asia/Bangkok]","0.0","0.54"
"Product","[Positive] - PRODUCT_DELETE existing product with valid id","SUCCESS","2023-10-06T14:53:01.187925+07:00[Asia/Bangkok]","0.0","0.61"
"Product","[Negative] - PRODUCT_DELETE existing cart with invalid id","SUCCESS","2023-10-06T14:53:01.8068263+07:00[Asia/Bangkok]","0.0","0.45"
"User","[Positive] - USER_ GET all detail data user with valid url","SUCCESS","2023-10-06T14:53:02.2635601+07:00[Asia/Bangkok]","0.0","0.64"
"User","[Negative] - USER_GET all detail data cart with invalid url","SUCCESS","2023-10-06T14:53:02.9102721+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_GET a single user with valid endpoints","SUCCESS","2023-10-06T14:53:03.3499494+07:00[Asia/Bangkok]","0.0","0.7"
"User","[Negative] - USER_GET a single user with invalid endpoints","SUCCESS","2023-10-06T14:53:04.0597398+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_GET limit result with valid param","SUCCESS","2023-10-06T14:53:04.5020231+07:00[Asia/Bangkok]","0.0","0.62"
"User","[Negative] - USER_GET limit result with invalid param","SUCCESS","2023-10-06T14:53:05.1216029+07:00[Asia/Bangkok]","0.0","0.92"
"User","[Positive] - USER_GET sort result user in descending with valid endpoint","SUCCESS","2023-10-06T14:53:06.044761+07:00[Asia/Bangkok]","0.0","0.63"
"User","[Negative] - USER_GET sort result user in descending with invalid endpoint","SUCCESS","2023-10-06T14:53:06.6820243+07:00[Asia/Bangkok]","0.0","0.44"
"User","[Positive] - USER_POST new product with valid data","SUCCESS","2023-10-06T14:53:07.1279651+07:00[Asia/Bangkok]","0.0","0.63"
"User","[Negative] - USER_POST new product with invalid data","SUCCESS","2023-10-06T14:53:07.7641438+07:00[Asia/Bangkok]","0.0","0.53"
"User","[Positive] - USER_PUT existing user with valid endpoints","SUCCESS","2023-10-06T14:53:08.2973156+07:00[Asia/Bangkok]","0.0","0.72"
